signal_id,location_id,date,syndrome,case_count
asha_000001,loc_001,2026-07-01,fever,20
asha_000002,loc_001,2026-07-01,diarrhea,15
asha_000003,loc_001,2026-07-01,cough,2
asha_000004,loc_001,2026-07-01,rash,1
asha_000005,loc_001,2026-07-02,fever,21
asha_000006,loc_001,2026-07-02,diarrhea,17
asha_000007,loc_001,2026-07-02,cough,2
asha_000008,loc_001,2026-07-02,rash,0
asha_000009,loc_001,2026-07-03,fever,21
asha_000010,loc_001,2026-07-03,diarrhea,15
asha_000011,loc_001,2026-07-03,cough,4
asha_000012,loc_001,2026-07-03,rash,1
asha_000013,loc_001,2026-07-04,fever,22
asha_000014,loc_001,2026-07-04,diarrhea,13
asha_000015,loc_001,2026-07-04,cough,5
asha_000016,loc_001,2026-07-04,rash,3
asha_000017,loc_001,2026-07-05,fever,18
asha_000018,loc_001,2026-07-05,diarrhea,17
asha_000019,loc_001,2026-07-05,cough,2
asha_000020,loc_001,2026-07-05,rash,3
asha_000021,loc_001,2026-07-06,fever,18
asha_000022,loc_001,2026-07-06,diarrhea,17
asha_000023,loc_001,2026-07-06,cough,4
asha_000024,loc_001,2026-07-06,rash,1
asha_000025,loc_001,2026-07-07,fever,19
asha_000026,loc_001,2026-07-07,diarrhea,15
asha_000027,loc_001,2026-07-07,cough,3
asha_000028,loc_001,2026-07-07,rash,0
asha_000029,loc_001,2026-07-08,fever,18
asha_000030,loc_001,2026-07-08,diarrhea,13
asha_000031,loc_001,2026-07-08,cough,4
asha_000032,loc_001,2026-07-08,rash,1
asha_000033,loc_001,2026-07-09,fever,20
asha_000034,loc_001,2026-07-09,diarrhea,17
asha_000035,loc_001,2026-07-09,cough,1
asha_000036,loc_001,2026-07-09,rash,0
asha_000037,loc_001,2026-07-10,fever,22
asha_000038,loc_001,2026-07-10,diarrhea,17
asha_000039,loc_001,2026-07-10,cough,2
asha_000040,loc_001,2026-07-10,rash,0
asha_000041,loc_001,2026-07-11,fever,18
asha_000042,loc_001,2026-07-11,diarrhea,13
asha_000043,loc_001,2026-07-11,cough,1
asha_000044,loc_001,2026-07-11,rash,3
asha_000045,loc_001,2026-07-12,fever,19
asha_000046,loc_001,2026-07-12,diarrhea,17
asha_000047,loc_001,2026-07-12,cough,4
asha_000048,loc_001,2026-07-12,rash,1
asha_000049,loc_001,2026-07-13,fever,20
asha_000050,loc_001,2026-07-13,diarrhea,14
asha_000051,loc_001,2026-07-13,cough,3
asha_000052,loc_001,2026-07-13,rash,3
asha_000053,loc_001,2026-07-14,fever,21
asha_000054,loc_001,2026-07-14,diarrhea,16
asha_000055,loc_001,2026-07-14,cough,1
asha_000056,loc_001,2026-07-14,rash,3
asha_000057,loc_001,2026-07-15,fever,18
asha_000058,loc_001,2026-07-15,diarrhea,16
asha_000059,loc_001,2026-07-15,cough,2
asha_000060,loc_001,2026-07-15,rash,2
asha_000061,loc_001,2026-07-16,fever,20
asha_000062,loc_001,2026-07-16,diarrhea,13
asha_000063,loc_001,2026-07-16,cough,2
asha_000064,loc_001,2026-07-16,rash,0
asha_000065,loc_001,2026-07-17,fever,20
asha_000066,loc_001,2026-07-17,diarrhea,15
asha_000067,loc_001,2026-07-17,cough,1
asha_000068,loc_001,2026-07-17,rash,1
asha_000069,loc_001,2026-07-18,fever,18
asha_000070,loc_001,2026-07-18,diarrhea,14
asha_000071,loc_001,2026-07-18,cough,4
asha_000072,loc_001,2026-07-18,rash,0
asha_000073,loc_001,2026-07-19,fever,18
asha_000074,loc_001,2026-07-19,diarrhea,16
asha_000075,loc_001,2026-07-19,cough,5
asha_000076,loc_001,2026-07-19,rash,1
asha_000077,loc_001,2026-07-20,fever,19
asha_000078,loc_001,2026-07-20,diarrhea,16
asha_000079,loc_001,2026-07-20,cough,5
asha_000080,loc_001,2026-07-20,rash,3
asha_000081,loc_001,2026-07-21,fever,19
asha_000082,loc_001,2026-07-21,diarrhea,13
asha_000083,loc_001,2026-07-21,cough,2
asha_000084,loc_001,2026-07-21,rash,2
asha_000085,loc_001,2026-07-22,fever,19
asha_000086,loc_001,2026-07-22,diarrhea,14
asha_000087,loc_001,2026-07-22,cough,1
asha_000088,loc_001,2026-07-22,rash,1
asha_000089,loc_001,2026-07-23,fever,19
asha_000090,loc_001,2026-07-23,diarrhea,14
