signal_id,location_id,date,rainfall_mm,water_risk_index
environment_000001,loc_001,2026-07-01,10.3,0.32
environment_000002,loc_001,2026-07-02,14.5,0.38
environment_000003,loc_001,2026-07-03,18.5,0.4
environment_000004,loc_001,2026-07-04,18.0,0.4
environment_000005,loc_001,2026-07-05,16.6,0.42
environment_000006,loc_001,2026-07-06,16.7,0.42
environment_000007,loc_001,2026-07-07,14.7,0.38
environment_000008,loc_001,2026-07-08,18.7,0.37
environment_000009,loc_001,2026-07-09,16.1,0.37
environment_000010,loc_001,2026-07-10,18.2,0.4
environment_000011,loc_001,2026-07-11,17.5,0.39
environment_000012,loc_001,2026-07-12,17.9,0.42
environment_000013,loc_001,2026-07-13,21.7,0.43
environment_000014,loc_001,2026-07-14,21.9,0.41
environment_000015,loc_001,2026-07-15,19.0,0.44
environment_000016,loc_001,2026-07-16,23.7,0.47
environment_000017,loc_001,2026-07-17,20.7,0.39
environment_000018,loc_001,2026-07-18,25.8,0.44
environment_000019,loc_001,2026-07-19,19.8,0.38
environment_000020,loc_001,2026-07-20,23.6,0.46
environment_000021,loc_001,2026-07-21,22.9,0.43
environment_000022,loc_001,2026-07-22,23.7,0.47
environment_000023,loc_001,2026-07-23,26.9,0.44
environment_000024,loc_001,2026-07-24,25.2,0.45
environment_000025,loc_001,2026-07-25,20.0,0.44
environment_000026,loc_001,2026-07-26,21.1,0.44
environment_000027,loc_001,2026-07-27,25.9,0.46
environment_000028,loc_001,2026-07-28,26.8,0.44
environment_000029,loc_001,2026-07-29,26.5,0.48
environment_000030,loc_001,2026-07-30,21.2,0.46
environment_000031,loc_001,2026-07-31,23.7,0.45
environment_000032,loc_001,2026-08-01,26.9,0.45
environment_000033,loc_001,2026-08-02,26.8,0.44
environment_000034,loc_001,2026-08-03,26.8,0.47
environment_000035,loc_001,2026-08-04,23.6,0.47
environment_000036,loc_001,2026-08-05,26.9,0.44
environment_000037,loc_001,2026-08-06,20.0,0.39
environment_000038,loc_001,2026-08-07,27.1,0.44
environment_000039,loc_001,2026-08-08,21.1,0.43
environment_000040,loc_001,2026-08-09,21.7,0.45
environment_000041,loc_001,2026-08-10,25.1,0.47
environment_000042,loc_001,2026-08-11,18.7,0.44
environment_000043,loc_001,2026-08-12,19.3,0.39
environment_000044,loc_001,2026-08-13,21.8,0.46
environment_000045,loc_001,2026-08-14,19.2,0.45
environment_000046,loc_001,2026-08-15,24.4,0.49
environment_000047,loc_001,2026-08-16,25.1,0.5
environment_000048,loc_001,2026-08-17,24.6,0.49
environment_000049,loc_001,2026-08-18,26.7,0.52
environment_000050,loc_001,2026-08-19,30.5,0.56
environment_000051,loc_001,2026-08-20,27.6,0.52
environment_000052,loc_001,2026-08-21,29.1,0.55
environment_000053,loc_001,2026-08-22,31.6,0.65
environment_000054,loc_001,2026-08-23,31.1,0.6
environment_000055,loc_001,2026-08-24,36.7,0.72
environment_000056,loc_001,2026-08-25,33.5,0.7
environment_000057,loc_001,2026-08-26,40.9,0.78
environment_000058,loc_001,2026-08-27,40.9,0.76
environment_000059,loc_001,2026-08-28,39.2,0.77
environment_000060,loc_001,2026-08-29,45.3,0.84
environment_000061,loc_002,2026-07-01,10.1,0.35
environment_000062,loc_002,2026-07-02,16.6,0.39
environment_000063,loc_002,2026-07-03,12.0,0.35
environment_000064,loc_002,2026-07-04,16.9,0.38
environment_000065,loc_002,2026-07-05,12.6,0.35
environment_000066,loc_002,2026-07-06,20.4,0.44
environment_000067,loc_002,2026-07-07,16.8,0.41
environment_000068,loc_002,2026-07-08,18.1,0.4
environment_000069,loc_002,2026-07-09,19.5,0.38
environment_000070,loc_002,2026-07-10,15.6,0.36
environment_000071,loc_002,2026-07-11,18.1,0.41
environment_000072,loc_002,2026-07-12,17.7,0.44
environment_000073,loc_002,2026-07-13,21.2,0.43
environment_000074,loc_002,2026-07-14,20.8,0.45
environment_000075,loc_002,2026-07-15,23.8,0.47
environment_000076,loc_002,2026-07-16,23.2,0.45
environment_000077,loc_002,2026-07-17,21.6,0.45
environment_000078,loc_002,2026-07-18,23.7,0.47
environment_000079,loc_002,2026-07-19,23.0,0.47
environment_000080,loc_002,2026-07-20,24.9,0.47
environment_000081,loc_002,2026-07-21,20.2,0.43
environment_000082,loc_002,2026-07-22,23.5,0.42
environment_000083,loc_002,2026-07-23,23.7,0.48
environment_000084,loc_002,2026-07-24,21.3,0.4
environment_000085,loc_002,2026-07-25,20.3,0.39
environment_000086,loc_002,2026-07-26,25.5,0.45
environment_000087,loc_002,2026-07-27,20.6,0.4
environment_000088,loc_002,2026-07-28,27.5,0.5
environment_000089,loc_002,2026-07-29,22.3,0.43
environment_000090,loc_002,2026-07-30,24.8,0.47
environment_000091,loc_002,2026-07-31,25.6,0.48
environment_000092,loc_002,2026-08-01,23.3,0.44
environment_000093,loc_002,2026-08-02,25.1,0.43
environment_000094,loc_002,2026-08-03,24.1,0.45
environment_000095,loc_002,2026-08-04,20.8,0.43
environment_000096,loc_002,2026-08-05,26.9,0.48
environment_000097,loc_002,2026-08-06,24.6,0.45
environment_000098,loc_002,2026-08-07,26.6,0.46
environment_000099,loc_002,2026-08-08,19.9,0.43
environment_000100,loc_002,2026-08-09,23.7,0.43
environment_000101,loc_002,2026-08-10,22.1,0.42
environment_000102,loc_002,2026-08-11,18.9,0.45
environment_000103,loc_002,2026-08-12,21.8,0.42
environment_000104,loc_002,2026-08-13,25.7,0.44
environment_000105,loc_002,2026-08-14,20.3,0.42
environment_000106,loc_002,2026-08-15,18.6,0.38
environment_000107,loc_002,2026-08-16,23.0,0.46
environment_000108,loc_002,2026-08-17,23.5,0.47
environment_000109,loc_002,2026-08-18,28.4,0.53
environment_000110,loc_002,2026-08-19,24.2,0.53
environment_000111,loc_002,2026-08-20,29.3,0.53
environment_000112,loc_002,2026-08-21,33.2,0.58
environment_000113,loc_002,2026-08-22,29.0,0.62
environment_000114,loc_002,2026-08-23,33.5,0.63
environment_000115,loc_002,2026-08-24,37.8,0.72
environment_000116,loc_002,2026-08-25,34.6,0.72
environment_000117,loc_002,2026-08-26,40.6,0.72
environment_000118,loc_002,2026-08-27,41.2,0.74
environment_000119,loc_002,2026-08-28,43.6,0.77
environment_000120,loc_002,2026-08-29,45.7,0.81
environment_000121,loc_003,2026-07-01,14.7,0.35
environment_000122,loc_003,2026-07-02,14.8,0.41
environment_000123,loc_003,2026-07-03,14.3,0.41
environment_000124,loc_003,2026-07-04,13.9,0.4
environment_000125,loc_003,2026-07-05,14.2,0.34
environment_000126,loc_003,2026-07-06,13.3,0.39
environment_000127,loc_003,2026-07-07,16.1,0.37
environment_000128,loc_003,2026-07-08,18.0,0.4
environment_000129,loc_003,2026-07-09,15.2,0.36
environment_000130,loc_003,2026-07-10,18.2,0.42
environment_000131,loc_003,2026-07-11,22.4,0.48
environment_000132,loc_003,2026-07-12,15.7,0.41
environment_000133,loc_003,2026-07-13,20.7,0.43
environment_000134,loc_003,2026-07-14,19.8,0.4
environment_000135,loc_003,2026-07-15,22.9,0.44
environment_000136,loc_003,2026-07-16,25.1,0.48
environment_000137,loc_003,2026-07-17,24.0,0.46
environment_000138,loc_003,2026-07-18,18.3,0.39
environment_000139,loc_003,2026-07-19,19.9,0.43
environment_000140,loc_003,2026-07-20,20.4,0.41
environment_000141,loc_003,2026-07-21,24.8,0.49
environment_000142,loc_003,2026-07-22,21.1,0.47
environment_000143,loc_003,2026-07-23,23.2,0.42
environment_000144,loc_003,2026-07-24,24.0,0.42
environment_000145,loc_003,2026-07-25,25.6,0.48
environment_000146,loc_003,2026-07-26,22.8,0.41
environment_000147,loc_003,2026-07-27,24.5,0.45
environment_000148,loc_003,2026-07-28,27.4,0.45
environment_000149,loc_003,2026-07-29,25.2,0.42
environment_000150,loc_003,2026-07-30,21.6,0.46
environment_000151,loc_003,2026-07-31,22.6,0.42
environment_000152,loc_003,2026-08-01,20.7,0.43
environment_000153,loc_003,2026-08-02,21.0,0.47
environment_000154,loc_003,2026-08-03,27.5,0.46
environment_000155,loc_003,2026-08-04,24.0,0.47
environment_000156,loc_003,2026-08-05,21.1,0.4
environment_000157,loc_003,2026-08-06,22.0,0.44
environment_000158,loc_003,2026-08-07,21.4,0.43
environment_000159,loc_003,2026-08-08,25.6,0.42
environment_000160,loc_003,2026-08-09,21.3,0.43
environment_000161,loc_003,2026-08-10,19.3,0.43
environment_000162,loc_003,2026-08-11,25.1,0.48
environment_000163,loc_003,2026-08-12,23.5,0.43
environment_000164,loc_003,2026-08-13,23.4,0.45
environment_000165,loc_003,2026-08-14,20.4,0.39
environment_000166,loc_003,2026-08-15,18.8,0.45
environment_000167,loc_003,2026-08-16,24.8,0.46
environment_000168,loc_003,2026-08-17,22.6,0.45
environment_000169,loc_003,2026-08-18,29.5,0.55
