signal_id,location_id,date,syndrome,patient_count
opd_000001,loc_001,2026-07-01,fever,17
opd_000002,loc_001,2026-07-01,diarrhea,12
opd_000003,loc_001,2026-07-01,cough,5
opd_000004,loc_001,2026-07-01,rash,3
opd_000005,loc_001,2026-07-02,fever,18
opd_000006,loc_001,2026-07-02,diarrhea,14
opd_000007,loc_001,2026-07-02,cough,6
opd_000008,loc_001,2026-07-02,rash,0
opd_000009,loc_001,2026-07-03,fever,15
opd_000010,loc_001,2026-07-03,diarrhea,13
opd_000011,loc_001,2026-07-03,cough,2
opd_000012,loc_001,2026-07-03,rash,3
opd_000013,loc_001,2026-07-04,fever,17
opd_000014,loc_001,2026-07-04,diarrhea,14
opd_000015,loc_001,2026-07-04,cough,4
opd_000016,loc_001,2026-07-04,rash,0
opd_000017,loc_001,2026-07-05,fever,17
opd_000018,loc_001,2026-07-05,diarrhea,10
opd_000019,loc_001,2026-07-05,cough,2
opd_000020,loc_001,2026-07-05,rash,0
opd_000021,loc_001,2026-07-06,fever,14
opd_000022,loc_001,2026-07-06,diarrhea,11
opd_000023,loc_001,2026-07-06,cough,6
opd_000024,loc_001,2026-07-06,rash,3
opd_000025,loc_001,2026-07-07,fever,18
opd_000026,loc_001,2026-07-07,diarrhea,12
opd_000027,loc_001,2026-07-07,cough,4
opd_000028,loc_001,2026-07-07,rash,1
opd_000029,loc_001,2026-07-08,fever,18
opd_000030,loc_001,2026-07-08,diarrhea,11
opd_000031,loc_001,2026-07-08,cough,2
opd_000032,loc_001,2026-07-08,rash,2
opd_000033,loc_001,2026-07-09,fever,16
opd_000034,loc_001,2026-07-09,diarrhea,12
opd_000035,loc_001,2026-07-09,cough,6
opd_000036,loc_001,2026-07-09,rash,0
opd_000037,loc_001,2026-07-10,fever,17
opd_000038,loc_001,2026-07-10,diarrhea,13
opd_000039,loc_001,2026-07-10,cough,4
opd_000040,loc_001,2026-07-10,rash,3
opd_000041,loc_001,2026-07-11,fever,17
opd_000042,loc_001,2026-07-11,diarrhea,13
opd_000043,loc_001,2026-07-11,cough,6
opd_000044,loc_001,2026-07-11,rash,2
opd_000045,loc_001,2026-07-12,fever,15
opd_000046,loc_001,2026-07-12,diarrhea,14
opd_000047,loc_001,2026-07-12,cough,4
opd_000048,loc_001,2026-07-12,rash,2
opd_000049,loc_001,2026-07-13,fever,16
opd_000050,loc_001,2026-07-13,diarrhea,14
opd_000051,loc_001,2026-07-13,cough,5
opd_000052,loc_001,2026-07-13,rash,2
opd_000053,loc_001,2026-07-14,fever,16
