signal_id,location_id,date,product_group,units_sold
pharmacy_000001,loc_001,2026-07-01,ORS,23
pharmacy_000002,loc_001,2026-07-01,fever_medicine,26
pharmacy_000003,loc_001,2026-07-01,cough_medicine,11
pharmacy_000004,loc_001,2026-07-02,ORS,23
pharmacy_000005,loc_001,2026-07-02,fever_medicine,32
pharmacy_000006,loc_001,2026-07-02,cough_medicine,7
pharmacy_000007,loc_001,2026-07-03,ORS,23
pharmacy_000008,loc_001,2026-07-03,fever_medicine,27
pharmacy_000009,loc_001,2026-07-03,cough_medicine,9
pharmacy_000010,loc_001,2026-07-04,ORS,17
pharmacy_000011,loc_001,2026-07-04,fever_medicine,30
pharmacy_000012,loc_001,2026-07-04,cough_medicine,5
pharmacy_000013,loc_001,2026-07-05,ORS,19
pharmacy_000014,loc_001,2026-07-05,fever_medicine,32
pharmacy_000015,loc_001,2026-07-05,cough_medicine,8
pharmacy_000016,loc_001,2026-07-06,ORS,23
pharmacy_000017,loc_001,2026-07-06,fever_medicine,28
pharmacy_000018,loc_001,2026-07-06,cough_medicine,11
pharmacy_000019,loc_001,2026-07-07,ORS,20
pharmacy_000020,loc_001,2026-07-07,fever_medicine,31
pharmacy_000021,loc_001,2026-07-07,cough_medicine,6
pharmacy_000022,loc_001,2026-07-08,ORS,17
pharmacy_000023,loc_001,2026-07-08,fever_medicine,26
pharmacy_000024,loc_001,2026-07-08,cough_medicine,7
pharmacy_000025,loc_001,2026-07-09,ORS,22
pharmacy_000026,loc_001,2026-07-09,fever_medicine,28
pharmacy_000027,loc_001,2026-07-09,cough_medicine,7
pharmacy_000028,loc_001,2026-07-10,ORS,18
pharmacy_000029,loc_001,2026-07-10,fever_medicine,32
pharmacy_000030,loc_001,2026-07-10,cough_medicine,9
pharmacy_000031,loc_001,2026-07-11,ORS,22
pharmacy_000032,loc_001,2026-07-11,fever_medicine,32
pharmacy_000033,loc_001,2026-07-11,cough_medicine,6
pharmacy_000034,loc_001,2026-07-12,ORS,21
pharmacy_000035,loc_001,2026-07-12,fever_medicine,29
pharmacy_000036,loc_001,2026-07-12,cough_medicine,9
pharmacy_000037,loc_001,2026-07-13,ORS,18
pharmacy_000038,loc_001,2026-07-13,fever_medicine,28
pharmacy_000039,loc_001,2026-07-13,cough_medicine,11
pharmacy_000040,loc_001,2026-07-14,ORS,20
pharmacy_000041,loc_001,2026-07-14,fever_medicine,26
pharmacy_000042,loc_001,2026-07-14,cough_medicine,10
pharmacy_000043,loc_001,2026-07-15,ORS,20
pharmacy_000044,loc_001,2026-07-15,fever_medicine,26
pharmacy_000045,loc_001,2026-07-15,cough_medicine,7
pharmacy_000046,loc_001,2026-07-16,ORS,19
pharmacy_000047,loc_001,2026-07-16,fever_medicine,30
pharmacy_000048,loc_001,2026-07-16,cough_medicine,6
pharmacy_000049,loc_001,2026-07-17,ORS,19
pharmacy_000050,loc_001,2026-07-17,fever_medicine,30
pharmacy_000051,loc_001,2026-07-17,cough_medicine,5
pharmacy_000052,loc_001,2026-07-18,ORS,19
pharmacy_000053,loc_001,2026-07-18,fever_medicine,30
pharmacy_000054,loc_001,2026-07-18,cough_medicine,5
pharmacy_000055,loc_001,2026-07-19,ORS,23
pharmacy_000056,loc_001,2026-07-19,fever_medicine,27
pharmacy_000057,loc_001,2026-07-19,cough_medicine,8
pharmacy_000058,loc_001,2026-07-20,ORS,22
pharmacy_000059,loc_001,2026-07-20,fever_medicine,30
pharmacy_000060,loc_001,2026-07-20,cough_medicine,9
pharmacy_000061,loc_001,2026-07-21,ORS,17
pharmacy_000062,loc_001,2026-07-21,fever_medicine,30
pharmacy_000063,loc_001,2026-07-21,cough_medicine,11
pharmacy_000064,loc_001,2026-07-22,ORS,19
pharmacy_000065,loc_001,2026-07-22,fever_medicine,30
pharmacy_000066,loc_001,2026-07-22,cough_medicine,6
pharmacy_000067,loc_001,2026-07-23,ORS,20
pharmacy_000068,loc_001,2026-07-23,fever_medicine,30
pharmacy_000069,loc_001,2026-07-23,cough_medicine,9
pharmacy_000070,loc_001,2026-07-24,ORS,18
pharmacy_000071,loc_001,2026-07-24,fever_medicine,30
pharmacy_000072,loc_001,2026-07-24,cough_medicine,9
pharmacy_000073,loc_001,2026-07-25,ORS,20
pharmacy_000074,loc_001,2026-07-25,fever_medicine,32
pharmacy_000075,loc_001,2026-07-25,cough_medicine,8
pharmacy_000076,loc_001,2026-07-26,ORS,19
pharmacy_000077,loc_001,2026-07-26,fever_medicine,28
pharmacy_000078,loc_001,2026-07-26,cough_medicine,6
pharmacy_000079,loc_001,2026-07-27,ORS,18
pharmacy_000080,loc_001,2026-07-27,fever_medicine,28
pharmacy_000081,loc_001,2026-07-27,cough_medicine,5
pharmacy_000082,loc_001,2026-07-28,ORS,17
pharmacy_000083,loc_001,2026-07-28,fever_medicine,27
pharmacy_000084,loc_001,2026-07-28,cough_medicine,9
pharmacy_000085,loc_001,2026-07-29,ORS,23
pharmacy_000086,loc_001,2026-07-29,fever_medicine,26
pharmacy_000087,loc_001,2026-07-29,cough_medicine,8
pharmacy_000088,loc_001,2026-07-30,ORS,18
pharmacy_000089,loc_001,2026-07-30,fever_medicine,28
pharmacy_000090,loc_001,2026-07-30,cough_medicine,9
pharmacy_000091,loc_001,2026-07-31,ORS,20
pharmacy_000092,loc_001,2026-07-31,fever_medicine,30
pharmacy_000093,loc_001,2026-07-31,cough_medicine,7
pharmacy_000094,loc_001,2026-08-01,ORS,20
pharmacy_000095,loc_001,2026-08-01,fever_medicine,30
pharmacy_000096,loc_001,2026-08-01,cough_medicine,9
pharmacy_000097,loc_001,2026-08-02,ORS,19
pharmacy_000098,loc_001,2026-08-02,fever_medicine,26
pharmacy_000099,loc_001,2026-08-02,cough_medicine,10
pharmacy_000100,loc_001,2026-08-03,ORS,18
pharmacy_000101,loc_001,2026-08-03,fever_medicine,32
pharmacy_000102,loc_001,2026-08-03,cough_medicine,8
pharmacy_000103,loc_001,2026-08-04,ORS,20
pharmacy_000104,loc_001,2026-08-04,fever_medicine,26
pharmacy_000105,loc_001,2026-08-04,cough_medicine,7
pharmacy_000106,loc_001,2026-08-05,ORS,18
pharmacy_000107,loc_001,2026-08-05,fever_medicine,28
pharmacy_000108,loc_001,2026-08-05,cough_medicine,7
pharmacy_000109,loc_001,2026-08-06,ORS,22
pharmacy_000110,loc_001,2026-08-06,fever_medicine,30
pharmacy_000111,loc_001,2026-08-06,cough_medicine,7
pharmacy_000112,loc_001,2026-08-07,ORS,23
pharmacy_000113,loc_001,2026-08-07,fever_medicine,26
pharmacy_000114,loc_001,2026-08-07,cough_medicine,7
pharmacy_000115,loc_001,2026-08-08,ORS,21
pharmacy_000116,loc_001,2026-08-08,fever_medicine,31
pharmacy_000117,loc_001,2026-08-08,cough_medicine,9
pharmacy_000118,loc_001,2026-08-09,ORS,18
pharmacy_000119,loc_001,2026-08-09,fever_medicine,31
pharmacy_000120,loc_001,2026-08-09,cough_medicine,6
pharmacy_000121,loc_001,2026-08-10,ORS,20
pharmacy_000122,loc_001,2026-08-10,fever_medicine,28
pharmacy_000123,loc_001,2026-08-10,cough_medicine,6
pharmacy_000124,loc_001,2026-08-11,ORS,21
pharmacy_000125,loc_001,2026-08-11,fever_medicine,30
pharmacy_000126,loc_001,2026-08-11,cough_medicine,7
pharmacy_000127,loc_001,2026-08-12,ORS,22
pharmacy_000128,loc_001,2026-08-12,fever_medicine,32
pharmacy_000129,loc_001,2026-08-12,cough_medicine,6
pharmacy_000130,loc_001,2026-08-13,ORS,21
pharmacy_000131,loc_001,2026-08-13,fever_medicine,27
pharmacy_000132,loc_001,2026-08-13,cough_medicine,5
pharmacy_000133,loc_001,2026-08-14,ORS,18
pharmacy_000134,loc_001,2026-08-14,fever_medicine,32
pharmacy_000135,loc_001,2026-08-14,cough_medicine,7
pharmacy_000136,loc_001,2026-08-15,ORS,23
pharmacy_000137,loc_001,2026-08-15,fever_medicine,30
pharmacy_000138,loc_001,2026-08-15,cough_medicine,9
pharmacy_000139,loc_001,2026-08-16,ORS,33
pharmacy_000140,loc_001,2026-08-16,fever_medicine,42
pharmacy_000141,loc_001,2026-08-16,cough_medicine,6
pharmacy_000142,loc_001,2026-08-17,ORS,33
pharmacy_000143,loc_001,2026-08-17,fever_medicine,48
pharmacy_000144,loc_001,2026-08-17,cough_medicine,6
pharmacy_000145,loc_001,2026-08-18,ORS,42
pharmacy_000146,loc_001,2026-08-18,fever_medicine,63
pharmacy_000147,loc_001,2026-08-18,cough_medicine,5
pharmacy_000148,loc_001,2026-08-19,ORS,43
pharmacy_000149,loc_001,2026-08-19,fever_medicine,64
pharmacy_000150,loc_001,2026-08-19,cough_medicine,11
pharmacy_000151,loc_001,2026-08-20,ORS,51
pharmacy_000152,loc_001,2026-08-20,fever_medicine,82
pharmacy_000153,loc_001,2026-08-20,cough_medicine,7
pharmacy_000154,loc_001,2026-08-21,ORS,56
pharmacy_000155,loc_001,2026-08-21,fever_medicine,95
pharmacy_000156,loc_001,2026-08-21,cough_medicine,11
pharmacy_000157,loc_001,2026-08-22,ORS,64
pharmacy_000158,loc_001,2026-08-22,fever_medicine,97
pharmacy_000159,loc_001,2026-08-22,cough_medicine,10
pharmacy_000160,loc_001,2026-08-23,ORS,72
pharmacy_000161,loc_001,2026-08-23,fever_medicine,106
pharmacy_000162,loc_001,2026-08-23,cough_medicine,8
pharmacy_000163,loc_001,2026-08-24,ORS,80
pharmacy_000164,loc_001,2026-08-24,fever_medicine,125
pharmacy_000165,loc_001,2026-08-24,cough_medicine,7
pharmacy_000166,loc_001,2026-08-25,ORS,88
pharmacy_000167,loc_001,2026-08-25,fever_medicine,132
pharmacy_000168,loc_001,2026-08-25,cough_medicine,9
pharmacy_000169,loc_001,2026-08-26,ORS,99
pharmacy_000170,loc_001,2026-08-26,fever_medicine,146
pharmacy_000171,loc_001,2026-08-26,cough_medicine,7
pharmacy_000172,loc_001,2026-08-27,ORS,102
pharmacy_000173,loc_001,2026-08-27,fever_medicine,155
pharmacy_000174,loc_001,2026-08-27,cough_medicine,5
